Hospital Name,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
FLORIDA HOSPITAL DADE CITY,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLORIDA HOSPITAL DADE CITY,FL,READM_30_COPD_HRRP,128,,0.9904,18.5321,18.7125,23,07/01/2014,06/30/2017
FLORIDA HOSPITAL DADE CITY,FL,READM_30_HF_HRRP,117,,0.868,18.7836,21.6405,13,07/01/2014,06/30/2017
FLORIDA HOSPITAL DADE CITY,FL,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLORIDA HOSPITAL DADE CITY,FL,READM_30_PN_HRRP,115,,0.9538,14.5737,15.2791,14,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_AMI_HRRP,173,,0.9586,14.8040,15.4437,23,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9745,12.5536,12.8822,Not Available,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_COPD_HRRP,350,,1.035,21.8111,21.0731,79,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_HF_HRRP,397,,0.8392,17.8779,21.3022,60,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,528,,0.8523,3.4613,4.0612,15,07/01/2014,06/30/2017
COPLEY MEMORIAL HOSPITAL,IL,READM_30_PN_HRRP,592,,1.0213,17.3520,16.9898,104,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_AMI_HRRP,517,,0.8432,12.0284,14.2657,52,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_CABG_HRRP,117,,1.0777,13.7348,12.7448,18,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_COPD_HRRP,220,,0.906,16.9443,18.7029,30,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_HF_HRRP,427,,0.9156,19.5804,21.3850,78,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_HIP_KNEE_HRRP,365,,0.9375,4.2036,4.4836,14,07/01/2014,06/30/2017
UP HEALTH SYSTEM - MARQUETTE,MI,READM_30_PN_HRRP,280,,0.9759,16.5973,17.0071,45,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_AMI_HRRP,268,,1.0124,16.1333,15.9358,44,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_CABG_HRRP,114,,1.0572,12.7995,12.1064,16,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_COPD_HRRP,285,,1.0269,20.3429,19.8090,60,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_HF_HRRP,427,,0.9785,22.1125,22.5991,93,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.8904,6.8562,7.7004,Not Available,07/01/2014,06/30/2017
LIMA MEMORIAL HEALTH SYSTEM,OH,READM_30_PN_HRRP,343,,0.9787,17.5853,17.9675,59,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_COPD_HRRP,147,,1.0376,19.8751,19.1552,32,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_HF_HRRP,300,,1.0172,21.3026,20.9417,65,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.1048,4.4946,4.0683,Not Available,07/01/2014,06/30/2017
ST JOHNS PLEASANT VALLEY HOSPITAL,CA,READM_30_PN_HRRP,360,,1.1018,18.0928,16.4214,71,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9801,11.5779,11.8134,Not Available,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_COPD_HRRP,132,,0.9738,16.6190,17.0660,20,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_HF_HRRP,123,,0.9721,19.3276,19.8815,22,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_HIP_KNEE_HRRP,228,,1.3147,4.5622,3.4701,16,07/01/2014,06/30/2017
CEDAR PARK REGIONAL MEDICAL CENTER,TX,READM_30_PN_HRRP,255,,1.0155,14.5515,14.3288,38,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9452,17.3246,18.3281,Not Available,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_HF_HRRP,79,,0.9931,20.8148,20.9600,16,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9599,3.7457,3.9021,Not Available,07/01/2014,06/30/2017
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,READM_30_PN_HRRP,164,,0.946,14.1650,14.9738,20,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9699,3.2340,3.3344,Not Available,07/01/2014,06/30/2017
PHYSICIANS' MEDICAL CENTER LLC,IN,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_AMI_HRRP,73,,1.0123,20.7939,20.5405,16,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_COPD_HRRP,346,,1.1641,25.9027,22.2511,102,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_HF_HRRP,472,,1.2543,28.5126,22.7323,150,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_HIP_KNEE_HRRP,520,,0.9064,3.8520,4.2497,18,07/01/2014,06/30/2017
SAINT ANNE'S HOSPITAL,MA,READM_30_PN_HRRP,644,,1.214,21.2587,17.5114,149,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_AMI_HRRP,119,,0.9623,14.5763,15.1477,15,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_COPD_HRRP,200,,1.04,20.4897,19.7016,44,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_HF_HRRP,303,,1.0517,21.3752,20.3245,68,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0282,4.1757,4.0611,Not Available,07/01/2014,06/30/2017
HIGHLINE MEDICAL CENTER,WA,READM_30_PN_HRRP,308,,1.023,15.7976,15.4420,50,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_COPD_HRRP,299,,0.9847,18.1055,18.3860,53,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_HF_HRRP,162,,0.9889,20.1896,20.4170,32,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
JAMESTOWN REGIONAL MEDICAL CENTER,TN,READM_30_PN_HRRP,211,,0.9574,16.3950,17.1245,32,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_COPD_HRRP,146,,1.0308,18.3303,17.7830,29,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_HF_HRRP,198,,1.0126,19.8042,19.5571,40,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0075,4.1044,4.0737,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,TX,READM_30_PN_HRRP,243,,1.0255,15.8518,15.4582,40,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_AMI_HRRP,325,,0.9856,14.1176,14.3239,45,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_CABG_HRRP,150,,1.0638,12.9457,12.1695,21,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_COPD_HRRP,727,,1.0402,21.0407,20.2277,156,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_HF_HRRP,1075,,0.9811,21.1372,21.5444,226,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,881,,0.9667,3.9392,4.0749,34,07/01/2014,06/30/2017
EDWARD HOSPITAL,IL,READM_30_PN_HRRP,1167,,1.0046,16.9427,16.8646,198,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_AMI_HRRP,356,,0.8806,11.6528,13.2326,34,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_CABG_HRRP,362,,0.7897,9.6409,12.2088,29,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_HF_HRRP,257,,0.872,17.2972,19.8373,36,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
KANSAS HEART HOSPITAL,KS,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_HIP_KNEE_HRRP,1363,,0.7947,2.7624,3.4762,33,07/01/2014,06/30/2017
NEBRASKA ORTHOPAEDIC HOSPITAL,NE,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_AMI_HRRP,1166,,0.9366,14.9260,15.9366,170,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_CABG_HRRP,372,,0.8766,11.3858,12.9884,39,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_COPD_HRRP,463,,0.9787,20.0106,20.4455,91,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_HF_HRRP,1176,,0.9465,21.3909,22.5998,248,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_HIP_KNEE_HRRP,789,,0.9051,4.0627,4.4885,30,07/01/2014,06/30/2017
SAINT THOMAS WEST HOSPITAL,TN,READM_30_PN_HRRP,783,,0.9982,17.1273,17.1575,134,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_AMI_HRRP,161,,1.0012,17.3439,17.3230,28,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_COPD_HRRP,167,,1.075,24.1132,22.4306,46,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_HF_HRRP,443,,1.0865,24.7142,22.7459,115,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_HIP_KNEE_HRRP,467,,0.9371,4.3585,4.6509,19,07/01/2014,06/30/2017
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,READM_30_PN_HRRP,743,,1.062,18.7488,17.6535,143,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_AMI_HRRP,126,,1.0407,17.8319,17.1351,25,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_COPD_HRRP,213,,1.0527,22.0709,20.9666,51,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_HF_HRRP,256,,1.0425,22.7758,21.8469,61,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0778,4.5463,4.2182,Not Available,07/01/2014,06/30/2017
UNIONTOWN HOSPITAL,PA,READM_30_PN_HRRP,346,,0.9846,16.7426,17.0045,57,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0338,15.9094,15.3890,Not Available,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_COPD_HRRP,316,,0.9781,17.6033,17.9975,54,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_HF_HRRP,193,,1.0171,21.2016,20.8453,42,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9887,3.8472,3.8913,Not Available,07/01/2014,06/30/2017
MARY BLACK HEALTH SYSTEM SPARTANBURG,SC,READM_30_PN_HRRP,280,,0.9588,14.8083,15.4452,39,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_AMI_HRRP,502,,0.8436,10.3312,12.2462,42,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,0.8725,9.6187,11.0248,Not Available,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.92,18.1935,19.7753,Not Available,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_HF_HRRP,275,,0.8661,17.0415,19.6758,38,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_HIP_KNEE_HRRP,600,,1.0592,4.3018,4.0616,27,07/01/2014,06/30/2017
UTAH VALLEY HOSPITAL,UT,READM_30_PN_HRRP,469,,0.8397,13.0366,15.5261,51,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9868,17.2808,17.5117,Not Available,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_HF_HRRP,103,,0.9799,17.7115,18.0749,17,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0693,4.3836,4.0996,Not Available,07/01/2014,06/30/2017
CARRIS HEALTH LLC,MN,READM_30_PN_HRRP,155,,0.9647,14.2474,14.7682,20,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_AMI_HRRP,0,7 - No cases met the criteria for this measure.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_PN_HRRP,517,,0.8801,14.6173,16.6087,68,07/01/2014,06/30/2017
SUMNER REGIONAL MEDICAL CENTER,KS,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0034,13.6080,13.5618,Not Available,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_COPD_HRRP,133,,0.9338,16.5234,17.6955,17,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_HF_HRRP,81,,0.9627,18.9922,19.7285,13,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0878,4.5966,4.2256,Not Available,07/01/2014,06/30/2017
PLAINS REGIONAL MEDICAL CENTER,NM,READM_30_PN_HRRP,224,,0.9086,13.6610,15.0347,25,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0251,16.1932,15.7961,Not Available,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_COPD_HRRP,73,,1.0278,19.1047,18.5882,16,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_HF_HRRP,129,,0.9478,20.5139,21.6446,23,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9861,3.7789,3.8320,Not Available,07/01/2014,06/30/2017
ST LUKE'S SUGAR LAND HOSPITAL,TX,READM_30_PN_HRRP,202,,0.8868,15.4632,17.4372,24,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.8774,15.1673,17.2867,Not Available,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"WEST COVINA MEDICAL CENTER, INC",CA,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9367,15.8613,16.9330,Not Available,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9849,17.9313,18.2061,Not Available,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_COPD_HRRP,168,,0.9863,18.4781,18.7352,30,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_HF_HRRP,311,,0.9886,19.5230,19.7472,60,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_HIP_KNEE_HRRP,348,,1.2016,4.9451,4.1154,21,07/01/2014,06/30/2017
MERCY HOSPITAL OF FOLSOM,CA,READM_30_PN_HRRP,332,,1.1308,16.7830,14.8419,63,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_AMI_HRRP,756,,0.9236,14.2689,15.4486,103,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_CABG_HRRP,294,,0.8628,11.8229,13.7026,31,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_COPD_HRRP,333,,0.9343,18.0409,19.3101,55,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_HF_HRRP,853,,0.8208,18.1098,22.0639,142,07/01/2014,06/30/2017
ST JOHNS HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,535,,0.9487,4.1289,4.3520,21,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9739,19.7877,20.3187,Not Available,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_COPD_HRRP,297,,0.9878,19.5068,19.7480,57,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_HF_HRRP,316,,0.9796,20.9865,21.4231,65,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.038,4.0855,3.9361,Not Available,07/01/2014,06/30/2017
CAROLINAS HEALTHCARE SYSTEM LINCOLN,NC,READM_30_PN_HRRP,485,,0.9257,16.0078,17.2930,73,07/01/2014,06/30/2017
